,name,manhat_pp,zero_pp,manhat_pp_sm,zero_pp_sm,dist,dist^2,dist_sm,dist_sm^2
68,TABULLO,0.432650328110352,0.7832847424684157,0.22311276271229785,0.6363515988789076,0.263157894,0.115789473,0.714285714,0.510204081
132,TURIELLO,0.5898977865477295,0.8467111980416034,0.8333624418258221,0.5342396221834789,0.157894736,0.056842105,0.714285714,0.510204081
73,TUROCY,0.09089326369358494,0.026239067055393396,0.06890108999481513,0.0,0.842105263,0.741052631,0.714285714,0.510204081
78,TAVANO,0.00024106066693442107,0.02235179786200163,0.13900386335739795,0.4236532562399311,0.315789473,0.151578947,0.714285714,0.510204081
19,TROXTEL,0.04353823490022771,0.47230320699708467,0.11709288185653739,0.34171209145278314,0.894736842,0.823157894,0.714285714,0.510204081
95,TAYSON,0.0,0.0048590864917391965,0.12821327180923145,0.41144925297375934,0.368421052,0.191578947,0.714285714,0.510204081
79,TUNSTILL,0.207687156823356,0.6793002915451896,0.3616693174148208,0.6555293182971772,0.368421052,0.191578947,0.714285714,0.510204081
192,TRUSSEL,0.3425645837465438,0.37590262144640835,0.7501566721801568,0.6350385099198906,0.210526315,0.084210526,0.714285714,0.510204081
8,TANADA,0.009685358192078854,0.2896845899300042,0.5963508224005253,0.5881148897667335,0.210526315,0.084210526,0.714285714,0.510204081
7,TROCHA,0.06892995848399602,0.3586005830903791,0.06671617556481539,0.2789486460839048,0.842105263,0.741052631,0.714285714,0.510204081
195,TASSON,0.0003214142225790782,0.02818270165208928,0.12767734940187273,0.3783241012512963,0.421052631,0.235789473,0.714285714,0.510204081
196,TYNDALL,0.254051158430427,0.6929057337220602,0.3722434787600136,0.7601350605786403,0.421052631,0.235789473,0.714285714,0.510204081
72,TROWELL,0.14321682067764813,0.4052478134110788,0.35289874109439107,0.6834241829055685,0.421052631,0.235789473,0.714285714,0.510204081
188,TAGAMI,0.3377586274120897,0.37977758915501114,0.23024132652537052,0.5411912696135764,0.263157894,0.115789473,0.714285714,0.510204081
110,TRUXILLO,0.17998976085493454,0.8176489402270856,0.02882768114899815,0.5533566526162478,0.210526315,0.084210526,0.714285714,0.510204081
108,TANTILLO,0.17187625552430696,0.8736637512147717,0.1341599492908863,0.6694767506013728,0.263157894,0.115789473,0.714285714,0.510204081
131,TRESSEL,0.15936788536226065,0.25947521865889217,0.38270427190365097,0.6311213117648359,0.368421052,0.191578947,0.714285714,0.510204081
127,TABAKA,0.432369090665595,0.6171039844509234,0.17953814851397448,0.6450687440690315,0.368421052,0.191578947,0.714285714,0.510204081
